,datetime,candidate,votes,state,district,type
175,2020-11-05 20:55:45+00:00,Trump,687,Arizona,,
176,2020-11-05 19:53:24+00:00,Biden,35,Arizona,,
177,2020-11-05 19:53:24+00:00,Trump,145,Arizona,,
178,2020-11-05 19:49:33+00:00,Biden,143,Arizona,,
179,2020-11-05 19:49:33+00:00,Trump,479,Arizona,,
180,2020-11-05 19:21:26+00:00,Biden,1041,Arizona,,
181,2020-11-05 19:21:26+00:00,Trump,856,Arizona,,
182,2020-11-05 07:43:01+00:00,Biden,25128,Arizona,,
183,2020-11-05 07:43:01+00:00,Trump,35911,Arizona,,
184,2020-11-05 02:03:34+00:00,Biden,30322,Arizona,,
185,2020-11-05 02:03:34+00:00,Trump,43966,Arizona,,
186,2020-11-05 00:44:49+00:00,Biden,2656,Arizona,,
187,2020-11-05 00:44:49+00:00,Trump,2855,Arizona,,
188,2020-11-04 20:28:27+00:00,Biden,149,Arizona,,
189,2020-11-04 20:28:27+00:00,Trump,651,Arizona,,
190,2020-11-04 18:56:14+00:00,Biden,109,Arizona,,
191,2020-11-04 18:56:14+00:00,Trump,100,Arizona,,
192,2020-11-04 14:47:51+00:00,Biden,43766,Arizona,,
193,2020-11-04 14:47:51+00:00,Trump,80922,Arizona,,
194,2020-11-04 13:28:22+00:00,Biden,1323536,Arizona,,
195,2020-11-04 13:28:22+00:00,Trump,1155634,Arizona,,
196,2020-11-30 18:13:25+00:00,Trump,34,Arkansas,,
197,2020-11-30 18:13:25+00:00,Biden,16,Arkansas,,
198,2020-11-24 20:34:16+00:00,Trump,858,Arkansas,,
199,2020-11-24 20:34:16+00:00,Biden,301,Arkansas,,
200,2020-11-24 16:52:23+00:00,Trump,19,Arkansas,,
201,2020-11-24 16:52:23+00:00,Biden,13,Arkansas,,
202,2020-11-23 19:34:20+00:00,Trump,20,Arkansas,,
203,2020-11-23 19:34:20+00:00,Biden,100,Arkansas,,
204,2020-11-19 16:55:55+00:00,Trump,89,Arkansas,,
205,2020-11-19 16:55:55+00:00,Biden,189,Arkansas,,
206,2020-11-18 17:43:33+00:00,Trump,22,Arkansas,,
207,2020-11-18 17:43:33+00:00,Biden,8,Arkansas,,
208,2020-11-18 16:53:14+00:00,Trump,11,Arkansas,,
209,2020-11-18 16:53:14+00:00,Biden,25,Arkansas,,
210,2020-11-18 15:57:11+00:00,Trump,18,Arkansas,,
211,2020-11-18 15:57:11+00:00,Biden,13,Arkansas,,
212,2020-11-18 15:48:31+00:00,Trump,25,Arkansas,,
213,2020-11-18 15:48:31+00:00,Biden,9,Arkansas,,
214,2020-11-18 15:29:12+00:00,Trump,3,Arkansas,,
215,2020-11-18 15:29:12+00:00,Biden,5,Arkansas,,
216,2020-11-18 00:32:01+00:00,Trump,4,Arkansas,,
217,2020-11-18 00:32:01+00:00,Biden,1,Arkansas,,
218,2020-11-17 23:17:19+00:00,Trump,40,Arkansas,,
219,2020-11-17 23:17:19+00:00,Biden,25,Arkansas,,
220,2020-11-17 21:32:18+00:00,Trump,7,Arkansas,,
221,2020-11-17 21:32:18+00:00,Biden,3,Arkansas,,
222,2020-11-17 21:12:38+00:00,Trump,22,Arkansas,,
223,2020-11-17 21:12:38+00:00,Biden,22,Arkansas,,
224,2020-11-17 20:16:59+00:00,Trump,19,Arkansas,,
225,2020-11-17 20:16:59+00:00,Biden,10,Arkansas,,
226,2020-11-17 19:48:39+00:00,Trump,11,Arkansas,,
227,2020-11-17 19:48:39+00:00,Biden,18,Arkansas,,
228,2020-11-17 17:07:03+00:00,Trump,82,Arkansas,,
229,2020-11-17 17:07:03+00:00,Biden,78,Arkansas,,
230,2020-11-17 16:53:43+00:00,Trump,28,Arkansas,,
231,2020-11-17 16:53:43+00:00,Biden,8,Arkansas,,
232,2020-11-17 15:24:22+00:00,Trump,52,Arkansas,,
233,2020-11-17 15:24:22+00:00,Biden,42,Arkansas,,
234,2020-11-17 02:45:32+00:00,Trump,1298,Arkansas,,
235,2020-11-17 02:45:32+00:00,Biden,3092,Arkansas,,
236,2020-11-16 23:19:52+00:00,Trump,66,Arkansas,,
237,2020-11-16 23:19:52+00:00,Biden,36,Arkansas,,
238,2020-11-16 22:59:53+00:00,Trump,32,Arkansas,,
239,2020-11-16 22:59:53+00:00,Biden,25,Arkansas,,
240,2020-11-16 21:01:32+00:00,Trump,16,Arkansas,,
241,2020-11-16 21:01:32+00:00,Biden,2,Arkansas,,
242,2020-11-16 19:31:33+00:00,Trump,37,Arkansas,,
243,2020-11-16 19:31:33+00:00,Biden,24,Arkansas,,
244,2020-11-16 18:28:52+00:00,Trump,24,Arkansas,,
245,2020-11-16 18:28:52+00:00,Biden,62,Arkansas,,
246,2020-11-16 18:16:52+00:00,Trump,98,Arkansas,,updated
247,2020-11-16 18:16:52+00:00,Biden,655,Arkansas,,updated
248,2020-11-16 17:40:54+00:00,Trump,41,Arkansas,,
249,2020-11-16 17:40:54+00:00,Biden,600,Arkansas,,
